loss,params,status,train_time,trial
16.692468881607056,"{'batch_size': 2, 'learn_rate': 0.01622178671926018, 'optimizer': 'adam'}",ok,67.9936176279989,43
13.430960297584534,"{'batch_size': 2, 'learn_rate': 0.19813997933633729, 'optimizer': 'rmsprop'}",ok,67.64963517400247,44
6.966155142523348,"{'batch_size': 1, 'learn_rate': 0.04782464190587999, 'optimizer': 'rmsprop'}",ok,70.1069856260001,45
3.830722600221634,"{'batch_size': 2, 'learn_rate': 0.07841654345764235, 'optimizer': 'sgd'}",ok,66.0314187139993,46
16.28977945446968,"{'batch_size': 1, 'learn_rate': 0.14420842953571794, 'optimizer': 'adam'}",ok,70.78075340099895,47
4.390001840889454,"{'batch_size': 2, 'learn_rate': 0.10068361469863699, 'optimizer': 'rmsprop'}",ok,67.056153816,48
7.571972711011767,"{'batch_size': 1, 'learn_rate': 0.01849396656681645, 'optimizer': 'sgd'}",ok,70.02454853300151,49
18.220201164484024,"{'batch_size': 2, 'learn_rate': 0.1639765691608218, 'optimizer': 'rmsprop'}",ok,67.82654792899848,50
4.046391377225518,"{'batch_size': 2, 'learn_rate': 0.02983583375708373, 'optimizer': 'adam'}",ok,67.13389817500138,51
11.670588478446007,"{'batch_size': 1, 'learn_rate': 0.12297748911566404, 'optimizer': 'rmsprop'}",ok,70.90653705299701,52
4.015509229153395,"{'batch_size': 2, 'learn_rate': 0.06695677663657959, 'optimizer': 'sgd'}",ok,66.03722119499798,53
13.080123156309128,"{'batch_size': 2, 'learn_rate': 0.025668487050839496, 'optimizer': 'rmsprop'}",ok,67.75808408100056,54
8.57946553453803,"{'batch_size': 1, 'learn_rate': 0.04075442636910485, 'optimizer': 'rmsprop'}",ok,69.85530935000133,55
4.348990470170975,"{'batch_size': 2, 'learn_rate': 0.08414649130617109, 'optimizer': 'adam'}",ok,66.9171193809998,56
4.563548345118761,"{'batch_size': 2, 'learn_rate': 0.050656246390002414, 'optimizer': 'rmsprop'}",ok,67.03627224400043,57
